key,zh-cn,en
order_machine_audit_exception,机审异常（资料不全或调用三方异常）,machine review abnormal
order_machine_review_passed,机审通过,machine review passed
order_machine_review_rejected,机审驳回,machine review rejected
order_manual_review_fails_30_apply,人工复审不通过30天后再申请,manual review rejected && after 30 days
order_manual_review_fails_apply,人工复审不通过可立即申请,manual review rejected && allowed apply
order_manual_review_passed,人工复审通过,manual review passed
order_mobile,联系电话,phnone
order_new_or_old,新老用户,new or old users
order_new_or_old_status0,默认,default
order_new_or_old_status1,新用户,new users
order_new_or_old_status2,老用户,new users
order_new_user,新用户,old users
order_not_distribution,未分配,not distribution
order_offine,下线,offline
order_old_new_user,新老用户,new users
order_old_user,老用户,old users
order_online,上线,online
order_order_create_time,订单提交时间,order create time
order_order_id,订单号,order id
order_order_info,订单信息,order info
order_order_status,订单状态,order status
order_overdue_amount,逾期金额,overdue amount
order_overdue_days,逾期天数,overdue days
order_overdue_highest,逾期封顶,overdue highest
order_overdue_level,逾期等级,overdue level
order_overdue_money,逾期金额,overdue money
order_overdue_rate,逾期费率,overdue rate
order_pass,人工审核通过,Manually approved
order_pay_money,交易金额,pay money
order_pay_way,付款方式,pay way
order_paystack,PayStack,PayStack
order_pending,待放款,pending
order_pending_card,待绑卡,pending card
order_pending_manual_review,待人工复审,pending manual review
order_phone_number,手机号,phone
order_picture_show,照片展示,photo show
order_prompt,提示,prompt
order_rate_set,日息率配置,rate(day) setting
order_refund_amount,退款金额,refund amount
order_refund_no,退款编号,refund number
order_refund_time,退款时间,refund time
order_refuse,人工审核拒绝-立即重新申请,refuse-Reapply now
order_refuse30,人工审核拒绝-30天后可申请,refuse-Can apply after 30 days
order_remind_status,提醒状态,remind status
order_remind_status1,已提醒,reminded
order_remind_status2,未提醒,Not reminded
order_reminder,提醒人,reminder
order_remission,减免,reduce
order_remission_aduit_operator,减免审核人,reduce audit operator
order_remission_aduit_status,减免审核状态,reduce audit status
order_remission_aduit_status1,待审核,Pending
order_remission_aduit_status2,通过,approve
order_remission_aduit_status3,不通过,not approve
order_remission_amount,减免金额,reduce amount
order_remission_apply_operator,减免申请人,reduce apply operator
order_remission_apply_time,减免申请时间,reduce apply time
order_remission_reason,减免理由,reduce reason
order_remove,移除,remove
order_repaid,已还款,repaid
order_repay_time,应还时间,repay time
order_repayment_time,还款时间,repayment time
order_repeat,重复,repeat
order_reset_password_confirm,"单击确定按钮进行重置后,客户登陆密码将重置为1234",Customer login password will be reset to 1234
order_serial_number,流水号,serial number
order_service_charge,服务费,service charge
order_service_charge_set,服务费配置,service charge settings
order_set_status,配置状态,setting status
order_settlement_times,成功结清次数,settlement times
order_should_repayment_amonut,到期应还金额,should repayment amonut
order_should_repayment_time,应还款时间,should repayment time
order_success,成功,success
order_successful_loan,放款成功,loan successfully
order_three_party_order_request_succeeded,三方订单请求成功,Three party order request succeeded
order_three_party_order_successfully_created,放款中,Loaning
order_trading_time,交易时间,trading time
order_upload_operator,上传人,upload operator
order_upload_time,上传时间,upload time
order_user_type0,全部,all
order_user_type1,新用户,new users
order_user_type2,老用户,old users
payment_abnormal_writeoff_status-1,全部,All
payment_abnormal_writeoff_status62,未结清,Outstanding
payment_abnormal_writeoff_status80,已结清,Cleared
payment_associated_order,关联订单,associated order
payment_associated_states,关联状态,states
payment_associated_states-1,全部,all
payment_associated_states1,未销账,Not written off
payment_associated_states2,已销账,written off
payment_associated_states5,无效,invalid
payment_balance_below,您的系统账户余额不足，放款失败，请联系客服及时充值,"Your system account balance is insufficient and the loan failed, please contact customer service to recharge in time"
payment_bank_email,银行邮箱,bank email
payment_bank_flow_record_status2,销账,Written off
payment_bank_flow_record_status3,撤销,Revoke
payment_bank_flow_record_status4,退款,Refund
payment_bank_flow_record_status5,异常处理,Exception handling
payment_bank_flow_record_status6,取消,cancel
payment_bank_flow_status1,未销账,Not written off
payment_bank_flow_status2,已销账,written off
payment_bank_flow_status3,未销账,Not written off
payment_bank_flow_status5,无效,invalid
payment_bank_flow_status6,未销账,Not written off
payment_batch_lending,批量放款,batch lending
payment_batch_reject,批量拒绝,batch reject
payment_effective_time,生效时间,effective time
payment_exception_handling,异常处理,exception handling
payment_last_update_time,最近更新时间,last update time
payment_lending,放款,lending
payment_lending_time,放款时间,lending time
payment_limit,贷款额度,Loan amount
payment_overdue_fee,逾期费,Overdue Fee
payment_paystack_balance,PayStack余额（GHS）,PayStack balance
payment_paystack_num,Paystack订单号,Paystack order number
payment_re_lending,再次放款,Pending again
payment_record,记录,record
payment_reject,拒绝,reject
payment_repayment_amount,还款金额,repayment amount
payment_returnAmount,应退金额,return Amount
payment_revocation,撤销,revocation
payment_trading_num,交易编号,Transaction number
payment_un_loan_order_amunt,待放款金额（GHS）,Pending loan amount
payment_un_loan_order_num,待放款订单（单）,Pending loan order
payment_upload_tip1,您上传了,You uploaded
payment_upload_tip2,条数据，成功了,"pieces of data,"
payment_upload_tip3,条，失败了,"pieces were successful,"
payment_upload_tip4,条，重复了,"pieces failed, and"
payment_upload_tip5,条。,pieces were repeated.
payment_user_type,用户类型,user type
payment_writeoff,销账,write-off
report_bankInfoAuthNum,银行卡信息认证数,银行卡信息认证数
report_bankInfoAuthRate,银行卡信息认证率,银行卡信息认证率
report_bankInfoInputNum,银行卡信息填写数,银行卡信息填写数
report_bankInfoInputRate,银行卡信息填写率,银行卡信息填写率
report_baseInfoAuthNum,基本信息认证数,基本信息认证数
report_baseInfo,基本信息,基本信息
report_baseInfoAuthRate,基本信息认证率,基本信息认证率
report_date,时间,时间
report_download,导出,导出
report_expireAmount,到期本金,到期本金
report_expireNums,到期单数,到期单数
report_expireRepayAmount,已还金额,已还金额
report_expireTotalAmount,到期总金额,到期总金额
report_firstExpire,首逾单数,首逾单数
report_firstExpireRate,首逾率,首逾率
report_loanNums,放款单数,放款单数
report_moreInfoAuthNum,更多信息认证数,更多信息认证数
report_moreInfoAuthRate,更多信息认证率,更多信息认证率
report_not_certification,未认证,未认证
report_already_certification,已认证,已认证
report_newExpire,新客到期单数,新客到期单数
report_newFirstExpire,新客首逾单数,新客首逾单数
report_newFirstExpireRate,新客首逾率,新客首逾率
report_newNums,新客放款单数,新客放款单数
report_newRefundAmount,新客到期金额,新客到期金额
report_newStillExpire,新客仍逾单数,新客仍逾单数
report_newStillExpireRate,新客仍逾率,新客仍逾率
report_newTotalAmount,新客放款金额,新客放款金额
report_oldExpire,老客到期单数,老客到期单数
report_oldFirstExpire,老客首逾单数,老客首逾单数
report_oldFirstExpireRate,老客首逾率,老客首逾率
report_oldNums,老客放款单数,老客放款单数
report_oldRefundAmount,老客到期金额,老客到期金额
report_oldStillExpire,老客仍逾单数,老客仍逾单数
report_oldStillExpireRate,老客仍逾率,老客仍逾率
report_oldTotalAmount,老客放款金额,老客放款金额
report_orderInNumber,进件人数,进件人数
report_orderInRate,进件率,进件率
report_orderInpayOkRate,进件下款率,进件下款率
report_payOkNumber,放款成功人数,放款成功人数
report_payOkRate,下款率,下款率
report_paymentNums,结清订单数,结清订单数
report_personInfoAuthNum,个人信息认证数,个人信息认证数
report_personInfoAuthRate,个人信息认证率,个人信息认证率
report_regDate,注册日期,注册日期
report_registNum,注册人数,注册人数
report_repayAmount,回款金额,回款金额
report_stillExpire,仍逾单数,仍逾单数
report_stillExpireRate,仍逾率,仍逾率
report_totalAmount,放款金额,放款金额
router_abnormalWriteoff,异常销账,Abnormal write-off
router_actionData,行为数据,行为数据
router_actionDataCollection,催收数据,催收数据
router_activity,活动管理,activity management
router_allData,整体数据,整体数据
router_bankFlow,银行流水,bank statements
router_banner,前端图片管理,picture management
router_collectionAllList,催收总订单,collection order
router_collectionManage,催收管理,collection management
router_collectionReduceList,催收减免,reduce audit
router_contactUs,联系我们,contact us
router_credit,信审管理,credit management
router_creditData,信审数据,credit data
router_creditOrderAll,信审总订单,credit order
router_creditOrderMy,我的信审订单,my credit order
router_detail,详情,detail
router_home,首页,home
router_login,登录,login
router_manualPayment,手动放款,Manual lending
router_merchantAccount,账号创建,account management
router_merchantRole,角色权限,role Permission
router_merchantSystem,系统管理,system management
router_myCollectionAllList,我的催收订单,my collection order
router_myS0AllList,我的S0订单,my S0 order
router_offlineWriteoff,线下销账,Offline write-off
router_operation,运营管理,Operation Management
router_order,订单管理,order management
router_orderAll,总订单,total order
router_paymentAbnormal,放款异常,Abnormal loan
router_paymentManage,支付管理,payment management
router_productSet,产品配置,Product configuration
router_s0AllList,S0总订单,S0 order
router_statisticionManage,报表,报表
router_user,用户管理,user management
router_userBlackList,黑名单,black list
router_userList,注册用户信息,Registered user info
router_welcome,欢迎页,welcome
router_pushMessage,消息推送,消息推送
router_userAuthInfo,用户认证信息,certification list
statistic_back_amount,催回订单金额,催回订单金额
statistic_back_amount_reality,订单催回金额（实际）,订单催回金额（实际）
statistic_back_num,催回订单数,催回订单数
statistic_back_num_reality,订单催回数（实际）,订单催回数（实际）
statistic_back_rate,订单催回率,订单催回率
statistic_collect_data,催收数据,催收数据
statistic_credit_basic,基础数据,基础数据
statistic_credit_evaluation,考核数据,考核数据
statistic_credit_num,审核总单数,审核总单数
statistic_credit_person,信审人,信审人
statistic_day_dispatch_amount,当日分配订单金额,当日分配订单金额
statistic_day_dispatch_num,当日分配订单数,当日分配订单数
statistic_dispatch_amount,分配订单金额,分配订单金额
statistic_dispatch_amount_total,分配订单总额,分配订单总额
statistic_dispatch_back_amount,分配中累计催回订单金额,分配中累计催回订单金额
statistic_dispatch_back_amount_day,分配中累计催回订单金额（当日分配中）,分配中累计催回订单金额（当日分配中）
statistic_dispatch_back_amount_total,分配中催回订单金额,分配中催回订单金额
statistic_dispatch_back_num,分配中累计催回订单数,分配中累计催回订单数
statistic_dispatch_back_num_day,分配中累计催回订单数（当日分配中）,分配中累计催回订单数（当日分配中）
statistic_dispatch_back_num_total,分配中催回订单数,分配中催回订单数
statistic_dispatch_num,分配订单数,分配订单数
statistic_dispatch_num_total,分配订单总数,分配订单总数
statistic_expire_all__num,到期总单数,到期总单数
statistic_expire_num,到期单数,到期单数
statistic_first_overdue_all_num,首逾总单数,首逾总单数
statistic_first_overdue_all_rate,总首逾率,总首逾率
statistic_first_overdue_num,首逾单数,首逾单数
statistic_first_overdue_rate,首逾率,首逾率
statistic_month,年月,年月
statistic_order_amount_total,催回订单总额,催回订单总额
statistic_order_num_total,催回订单总数,催回订单总数
statistic_pass_num,通过总单数,通过总单数
statistic_pass_rate,总通过率,总通过率
statistic_pay_all_num,放款成功总单数,放款成功总单数
statistic_pay_num,放款成功单数,放款成功单数
statistic_s0_back_num,S0催回订单数,S0催回订单数
statistic_s0_back_num_total,S0催回订单总数,S0催回订单总数
statistic_s0_data,S0数据,S0数据
statistic_s0_dispatch_num,S0分配订单数,S0分配订单数
statistic_s0_dispatch_num_total,S0分配订单总数,S0分配订单总数
statistic_s0_dispatch_rate,S0催回率,S0催回率
statistic_s0_dispatch_rate_total,S0总催回率,S0总催回率
statistic_s0_first_delay_num,首逾单数,首逾单数
statistic_s0_first_delay_rate,总首逾率,总首逾率
statistic_s0_order_num,S0到期订单数,S0到期订单数
statistic_second_overdue_all_num,仍逾期总单数,仍逾期总单数
statistic_second_overdue_all_rate,总仍逾期率,总仍逾期率
statistic_second_overdue_num,仍逾期单数,仍逾期单数
statistic_second_overdue_rate,仍逾期率,仍逾期率
statistic_wait_back_num,待催订单数,待催订单数
system_app_id,APP ID,APP ID
system_app_name_rule,18位字符以内数字或英文字母的组合,A combination of numbers or English letters within 18 characters
system_app_package,APP包名称,package name
system_appid_rule,必须为3位字母+2位数字,3letters+2digitals
system_authsetting,权限设置,Permission settings
system_balance,账户余额（￥）,balance
system_domain,域名,domain
system_information,用户详细信息,detail info
system_is_reset_pass,点击之后，该账号的密码将会被重置，重置密码为：123456 是否继续？,the account password is reset to 123456. Continue?
system_jobno,职位编号,job number
system_lay_up,暂停使用,not in use
system_loan_income,每放款成功一笔订单固定收取费用（元）,A fee will be charged for each successful order
system_login_name,登录名,login name
system_login_name_rule,6-16位数字或英文字母的组合,6-16 digits or English letters
system_merchant_name,商家名称,merchant name
system_normal_use,正常使用,Normal use
system_permission,权限,authority
system_phone_error,手机号码格式错误,Wrong format of phone
system_please_input,请输入,ple input
system_please_rolename,请输入角色名称,ple input role name
system_please_select,请选择,ple select
system_price_standard,计价标准,Pricing Standard
system_price_standard_rule,只能输入7位数字（最多保留两位小数）,Only 7 digits can be entered(Two decimal places)
system_recent_time,最近登录时间,recent time
system_repayment,还款记录,repapyment
system_role,角色,role name
system_rolename,角色名称,role name
system_stage,等级,stage
tips_add_search_data,请输入搜索条件,请输入搜索条件
tips_can_not_delete_been_writeoff,已销账的订单不能删除，请撤销销账后重新尝试。,"cannot be deleted, please cancel the cancellation and try again."
tips_comfirm_bank_flow_no,请填写流水号,Ple fill in the serial number
tips_comfirm_batch_lending,您确定要支付所有待处理的付款单么？,Are you sure pay all pending payment orders?
tips_comfirm_batch_reject,您确定要拒绝所有待处理的付款单么？,Are you reject all pending payment orders?
tips_comfirm_cancal_invalid,您确定要取消异常处理操作吗？,Are you sure cancel the exception handling operation?
tips_comfirm_choose,请先选择订单！,Please select an order first!
tips_comfirm_delete,确认删除以上选择信息？,Are you sure to delete the above selection information?
tips_comfirm_invalid,您确定要将该笔流水状态改为无效状态吗？,Are you sure change the status of this transaction to invalid?
tips_comfirm_lending,您确定要支付此付款单么？,Are you sure pay this payment slip?
tips_comfirm_lending_fail,我已确认贷款失败,I have confirmed that the loan failed
tips_comfirm_reject,您确定要拒绝此付款单么？,Are you sure reject this payment order?
tips_comfirm_relending,是否要给客户再次放款？,Do you want to lend the customer again?
tips_comfirm_revocation_writeoff,您确定要撤销销账过的记录吗？,Are you sure cancel the record of the cancellation?
tips_data_up_to_yesterday,此页数据截止到昨日,此页数据截止到昨日
user_address_book,通讯录,Adress book
user_age,年龄,Age
user_bank,银行名称,Bank name
user_card_number,银行卡号,card number
user_bank_no,银行账户号,Bccount number
user_birthday,生日,Birthday
user_bvn,BVN,Bvn
user_bvn_phone_num,Bvn绑定手机号,Bvn phone
user_campany_name,公司名称,Company
user_campany_phone,公司电话,Phone
user_campany_state,公司所在省/市,State
user_company_info,公司信息,Info
user_contact,紧急联系人,Contact
user_email,电子邮件,E-mail
user_family_member1,家庭成员1,Member1
user_family_member2,家庭成员2,Member2
user_family_member_phone_num1,家庭成员联系方式1,Phone1
user_family_member_phone_num2,家庭成员联系方式2,Phone1
user_first_photo,首次成功贷款照片,First photo
user_gender,性别,Gender
user_hidden,隐藏,Hidden
user_more_carrer,职业名称,Carrer
user_more_child,子女数量,Chilren info
user_more_facebook,Facebook,Facebook
user_more_income,月收入,Income
user_more_info,更多信息,More info
user_more_job,就业情况,Job info
user_more_marry,婚姻状况,Marry info
user_more_tran,教育水平,Education info
user_more_twitter,Twitter,Twitter
user_more_whatsapp,Whatsapp,Whatsapp
user_more_work,工作经验,Experience
user_name,姓名,Name
user_personal_info,个人信息,Personal info
user_phone_number,电话号码,Phone
user_photo_info,照片展示,Photo info
user_state,居住所在省/市,State
user_thistime_photo,这次贷款照片,Now photo
user_update_time,更新时间,Update time
user_symbol,Voter ID,Voter ID
user_symbol_phone,Voter ID Phone,Voter ID Phone
user_bank_info,银行信息,Bank info
post_title,推送标题,推送标题
post_time,推送时间,推送时间
post_status,推送状态,推送状态
post_content,推送内容,推送内容
post_user_number,推送用户数,推送用户数
post_read_number,阅读用户数,阅读用户数
post_target,推送对象,推送对象
post_type,推送方式,推送方式
post_status_pushed,已推送,已推送
post_status_not_pushed,未推送,未推送
post_upload_reset_users,重新上传,重新上传
post_upload_users,上传用户,上传用户
post_type_now,立即推送,立即推送
post_type_fixed time,定时推送,定时推送
